Price,ID,Eye Colour,Fur,Pattern,Eye Shape,Accent Color,Highlight Color,Mouth,Base Color,Wild Element,Likes,Cooldown,gen
0.05,1299578,doridnudibranch,bobtail,amur,raisedbrow,shale,lemonade,saycheese,nachocheez,elk,0,Slow Cooldown ,16
0.05,1305145,thundergrey,birman,ganado,chronic,icy,coffee,tongue,greymatter,,0,Swift Cooldown ,5
0.05,1334411,cyan,savannah,arcreactor,simple,sandalwood,rosequartz,confuzzled,koala,,0,Brisk Cooldown ,10
0.05,1300754,sizzurp,selkirk,ganado,caffeine,icy,swampgreen,whixtensions,shadowgrey,,0,Plodding Cooldown ,14
0.05,1305526,sapphire,bobtail,spangled,wonky,belleblue,lilac,happygokitty,cinderella,,0,Brisk Cooldown ,10
0.05,1319703,chestnut,mekong,avatar,wiley,shale,padparadscha,pouty,bananacream,,0,Brisk Cooldown ,10
0.05,1306737,kaleidoscope,savannah,amur,swarley,belleblue,rosequartz,moue,hotcocoa,,0,Plodding Cooldown ,9
0.05,1305559,gold,koladiviya,ganado,asif,azaleablush,rosequartz,belch,verdigris,,0,Brisk Cooldown ,12
0.05,1403085,olive,selkirk,totesbasic,baddate,cashewmilk,egyptiankohl,pouty,cinderella,flapflap,0,Swift Cooldown ,4
0.0532,1395250,gold,mekong,spangled,serpent,purplehaze,scarlet,soserious,bananacream,,0,Snappy Cooldown ,6
0.0535,1404069,cyan,selkirk,totesbasic,otaku,azaleablush,swampgreen,soserious,nachocheez,,0,Slow Cooldown ,18
0.0548,1336438,doridnudibranch,koladiviya,rorschach,chronic,cashewmilk,royalpurple,happygokitty,bananacream,,0,Fast Cooldown ,1
0.0559,1338544,dahlia,savannah,tiger,chronic,azaleablush,lemonade,rollercoaster,brownies,,0,Swift Cooldown ,3
0.0561,1304807,parakeet,munchkin,mittens,slyboots,frosting,coffee,grim,greymatter,,0,Swift Cooldown ,3
0.0564,1404939,olive,munchkin,rascal,crazy,kalahari,royalpurple,grimace,greymatter,,0,Swift Cooldown ,2
0.0569,1311306,cyan,ragdoll,camo,wiley,sandalwood,coffee,pouty,bananacream,,0,Swift Cooldown ,5
0.0592,1343355,parakeet,cymric,totesbasic,slyboots,icy,royalpurple,pouty,aquamarine,,0,Fast Cooldown ,1
0.0593,1343356,sizzurp,koladiviya,luckystripe,thicccbrowz,sandalwood,coffee,soserious,brownies,,0,Fast Cooldown ,1
0.0599,1343351,topaz,himalayan,calicool,crazy,frosting,coffee,pouty,cottoncandy,,0,Fast Cooldown ,1
0.06,1310790,sizzurp,pixiebob,luckystripe,wiley,purplehaze,chocolate,soserious,hotcocoa,,0,Swift Cooldown ,5
0.0608,1343346,cyan,ragdoll,tiger,thicccbrowz,azaleablush,lemonade,grim,oldlace,,0,Fast Cooldown ,1
0.0615,1344168,gold,manul,totesbasic,swarley,granitegrey,coffee,rollercoaster,meowgarine,trioculus,0,Swift Cooldown ,2
0.0616,1344146,gold,savannah,rascal,wiley,kittencream,coffee,happygokitty,meowgarine,ducky,0,Swift Cooldown ,2
0.0619,1348877,sapphire,selkirk,amur,thicccbrowz,azaleablush,egyptiankohl,soserious,orangesoda,,0,Swift Cooldown ,3
0.0622,1348891,gold,selkirk,jaguar,wingtips,sandalwood,royalpurple,beard,cottoncandy,,0,Swift Cooldown ,3
0.0629,1294188,sizzurp,selkirk,mittens,wiley,kalahari,springcrocus,confuzzled,greymatter,,0,Swift Cooldown ,4
0.0629,1294424,olive,birman,rorschach,chronic,cashewmilk,egyptiankohl,tongue,cinderella,,0,Swift Cooldown ,2
0.0631,1343324,coralsunrise,savannah,avatar,chronic,icy,coffee,pouty,cinderella,,0,Swift Cooldown ,4
0.0646,1290637,sapphire,koladiviya,rascal,asif,kalahari,royalpurple,soserious,dragonfruit,,0,Swift Cooldown ,3
0.0654,1296045,cyan,mekong,amur,asif,morningglory,swampgreen,happygokitty,brownies,,0,Swift Cooldown ,2
0.0654,1291002,cyan,savannah,amur,wiley,frosting,poisonberry,soserious,cinderella,,0,Swift Cooldown ,2
0.0654,1296781,sapphire,chantilly,tiger,thicccbrowz,icy,swampgreen,whixtensions,brownies,,0,Swift Cooldown ,2
0.0654,1290918,chestnut,birman,amur,chronic,emeraldgreen,lemonade,pouty,greymatter,,0,Swift Cooldown ,2
0.0661,1348363,mintgreen,chartreux,tiger,crazy,frosting,swampgreen,whixtensions,cottoncandy,,0,Swift Cooldown ,2
0.0674,1403208,dahlia,munchkin,rascal,thicccbrowz,frosting,coffee,moue,brownies,,0,Snappy Cooldown ,6
0.068,1399740,cyan,munchkin,vigilante,chameleon,belleblue,coffee,moue,brownies,,0,Plodding Cooldown ,8
0.0693,1290185,cyan,mekong,spangled,asif,frosting,egyptiankohl,moue,brownies,,0,Swift Cooldown ,2
0.0695,1313684,thundergrey,koladiviya,rascal,asif,frosting,coffee,fangtastic,tundra,daemonwings,0,Swift Cooldown ,3
0.0698,1293834,dahlia,ragdoll,amur,asif,belleblue,lemonade,confuzzled,greymatter,,0,Fast Cooldown ,1
0.0698,1294779,gold,ragdoll,totesbasic,thicccbrowz,purplehaze,coffee,whixtensions,brownies,,0,Swift Cooldown ,3
0.07,1296876,gold,fox,spangled,chronic,frosting,swampgreen,fangtastic,cottoncandy,,0,Brisk Cooldown ,11
0.07,1334535,dahlia,birman,arcreactor,crazy,sully,lilac,soserious,koala,,0,Brisk Cooldown ,8
0.07,1300003,dahlia,siberian,rorschach,slyboots,frosting,coffee,pouty,bananacream,,0,Swift Cooldown ,5
0.07,1328230,gold,ragdoll,tiger,crazy,belleblue,royalblue,confuzzled,koala,elk,0,Snappy Cooldown ,8
0.071,1324422,sapphire,selkirk,thunderstruck,baddate,frosting,lemonade,fangtastic,cottoncandy,alicorn,0,Swift Cooldown ,5
0.0719,1345981,olive,ragdoll,totesbasic,chronic,frosting,royalpurple,confuzzled,cottoncandy,,0,Fast Cooldown ,1
0.0723,1308495,olive,chantilly,rascal,caffeine,cashewmilk,swampgreen,soserious,hyacinth,,0,Swift Cooldown ,3
0.0723,1306524,sapphire,selkirk,rascal,wiley,missmuffett,scarlet,pouty,hyacinth,,0,Swift Cooldown ,3
0.0724,1294567,dahlia,pixiebob,rascal,drama,kittencream,barkbrown,grim,bananacream,,0,Plodding Cooldown ,17
0.0725,1317424,dahlia,ragdoll,thunderstruck,wonky,shale,royalpurple,confuzzled,greymatter,,0,Fast Cooldown ,1
0.0725,1297877,cyan,selkirk,calicool,thicccbrowz,frosting,egyptiankohl,confuzzled,cinderella,elk,0,Snappy Cooldown ,6
0.0725,1317467,dahlia,koladiviya,rorschach,asif,frosting,coffee,fangtastic,cinderella,,0,Fast Cooldown ,1
0.0725,1317465,dahlia,koladiviya,tiger,wiley,cashewmilk,royalpurple,soserious,brownies,,0,Fast Cooldown ,1
0.0726,1317504,dahlia,chantilly,rascal,asif,kalahari,lilac,happygokitty,bananacream,,0,Fast Cooldown ,1
0.0726,1317505,sapphire,ragdoll,rorschach,asif,kalahari,lemonade,soserious,cinderella,,0,Fast Cooldown ,1
0.0726,1333302,dahlia,chantilly,rascal,thicccbrowz,frosting,coffee,soserious,cottoncandy,,0,Fast Cooldown ,1
0.0726,1333326,olive,koladiviya,rorschach,swarley,cashewmilk,royalpurple,confuzzled,brownies,,0,Fast Cooldown ,1
0.0726,1342989,sapphire,koladiviya,rorschach,wiley,frosting,egyptiankohl,whixtensions,cottoncandy,,0,Fast Cooldown ,1
0.0726,1333331,dahlia,ragdoll,totesbasic,asif,purplehaze,egyptiankohl,happygokitty,brownies,,0,Fast Cooldown ,1
0.0726,1342767,cyan,ragdoll,totesbasic,chronic,frosting,coffee,impish,greymatter,,0,Fast Cooldown ,1
0.0727,1333344,olive,koladiviya,amur,swarley,kalahari,egyptiankohl,pouty,brownies,,0,Fast Cooldown ,1
0.0727,1333334,dahlia,ragdoll,amur,asif,icy,padparadscha,confuzzled,cinderella,,0,Fast Cooldown ,1
0.0727,1301738,kaleidoscope,ragdoll,spock,swarley,frosting,royalpurple,pouty,firstblush,,0,Plodding Cooldown ,16
0.0736,1299837,cyan,laperm,mittens,sass,belleblue,lemonade,pouty,cottoncandy,elk,0,Swift Cooldown ,5
0.0736,1297150,sizzurp,savannah,spock,crazy,kalahari,coffee,rollercoaster,greymatter,elk,0,Swift Cooldown ,5
0.0746,1295208,sizzurp,manul,ganado,caffeine,purplehaze,prairierose,pouty,shadowgrey,wyrm,0,Brisk Cooldown ,13
0.075,1328206,coralsunrise,selkirk,henna,googly,sully,skyblue,beard,cornflower,,0,Plodding Cooldown ,8
0.075,771812,coralsunrise,selkirk,rascal,wiley,emeraldgreen,egyptiankohl,neckbeard,greymatter,,0,Plodding Cooldown ,2
0.075,1321161,sizzurp,norwegianforest,ganado,stunned,azaleablush,egyptiankohl,grim,greymatter,,0,Brisk Cooldown ,10
0.075,1390286,sapphire,manul,ganado,thicccbrowz,azaleablush,egyptiankohl,delite,dragonfruit,,0,Snappy Cooldown ,6
0.0756,1333303,olive,koladiviya,rorschach,baddate,frosting,coffee,happygokitty,cinderella,,0,Fast Cooldown ,1
0.0757,1333284,chestnut,koladiviya,tiger,wiley,cashewmilk,royalpurple,soserious,brownies,,0,Fast Cooldown ,1
0.0757,1342666,dahlia,birman,tiger,swarley,kalahari,swampgreen,fangtastic,greymatter,,0,Fast Cooldown ,1
0.0758,1295594,eclipse,ragdoll,moonrise,thicccbrowz,frosting,prairierose,happygokitty,brownies,,0,Plodding Cooldown ,16
0.0769,1309065,mintgreen,selkirk,ganado,chronic,kittencream,prairierose,pouty,greymatter,,0,Sluggish Cooldown ,22
0.0772,1295211,kaleidoscope,birman,rascal,chronic,frosting,barkbrown,delite,cottoncandy,,0,Plodding Cooldown ,16
0.0772,1298276,dahlia,liger,totesbasic,googly,kittencream,coffee,wuvme,greymatter,,0,Plodding Cooldown ,17
0.0789,1398888,mintgreen,munchkin,arcreactor,wonky,emeraldgreen,coffee,whixtensions,greymatter,,0,Swift Cooldown ,2
0.079,1389045,dahlia,ragdoll,leopard,wiley,frosting,prairierose,grim,dragonfruit,,0,Snappy Cooldown ,6
0.0795,1292330,mintgreen,pixiebob,luckystripe,raisedbrow,dreamboat,swampgreen,wuvme,salmon,,0,Snappy Cooldown ,8
0.0796,1291835,mintgreen,siberian,calicool,wonky,cashewmilk,lemonade,happygokitty,brownies,,0,Swift Cooldown ,4
0.0796,1291545,sapphire,koladiviya,rascal,slyboots,belleblue,poisonberry,rollercoaster,cinderella,,0,Swift Cooldown ,3
0.08,1408285,doridnudibranch,munchkin,mittens,asif,cashewmilk,skyblue,confuzzled,greymatter,,0,Brisk Cooldown ,12
0.08,1344503,cyan,koladiviya,rorschach,wowza,cashewmilk,egyptiankohl,whixtensions,bananacream,,0,Fast Cooldown ,1
0.08,1329891,thundergrey,selkirk,arcreactor,stunned,morningglory,egyptiankohl,happygokitty,koala,,0,Plodding Cooldown ,4
0.0815,1324211,cyan,selkirk,tiger,slyboots,sandalwood,royalpurple,wuvme,cinderella,,0,Fast Cooldown ,1
